순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
55,2016,국회공직자윤리위원회,강동원,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"7,765",0,"7,765",,
56,2016,국회공직자윤리위원회,강동원,국회,국회의원,유가증권,"19,575","36,244","19,075","36,744",,
57,2016,국회공직자윤리위원회,강동원,국회,국회의원,채무,"-800,840",0,"-25,623","-775,217",,
58,2016,국회공직자윤리위원회,강동원,국회,국회의원,총계,"-59,100","133,342","88,685","-14,443",,
59,2016,국회공직자윤리위원회,강석호,국회,국회의원,토지,"1,313,467","62,339",21,"1,375,785",,
60,2016,국회공직자윤리위원회,강석호,국회,국회의원,건물,"2,911,827","814,217",0,"3,726,044",,
61,2016,국회공직자윤리위원회,강석호,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,0,"10,892",0,"10,892",,
62,2016,국회공직자윤리위원회,강석호,국회,국회의원,예금,"9,674,297","6,694,623","7,637,168","8,731,752",,
63,2016,국회공직자윤리위원회,강석호,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"238,959",0,"238,959",,
64,2016,국회공직자윤리위원회,강석호,국회,국회의원,유가증권,"1,382,321",0,"1,176","1,381,145",,
65,2016,국회공직자윤리위원회,강석호,국회,국회의원,채무,"-120,000","-55,318",0,"-175,318",,
66,2016,국회공직자윤리위원회,강석호,국회,국회의원,회원권,"81,950",0,0,"81,950",,
67,2016,국회공직자윤리위원회,강석호,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
68,2016,국회공직자윤리위원회,강석호,국회,국회의원,총계,"15,243,862","7,765,712","7,638,365","15,371,209",,
69,2016,국회공직자윤리위원회,강석훈,국회,국회의원,토지,"20,915","11,259",0,"32,174",,
70,2016,국회공직자윤리위원회,강석훈,국회,국회의원,건물,"720,000","650,000",0,"1,370,000",,
71,2016,국회공직자윤리위원회,강석훈,국회,국회의원,예금,"743,002","475,912","469,013","749,901",,
72,2016,국회공직자윤리위원회,강석훈,국회,국회의원,채무,"-17,000","-650,000","-11,066","-655,934",,
73,2016,국회공직자윤리위원회,강석훈,국회,국회의원,회원권,"40,000",0,0,"40,000",,
74,2016,국회공직자윤리위원회,강석훈,국회,국회의원,총계,"1,506,917","487,171","457,947","1,536,141",,
