순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
4851,2016,정부공직자윤리위원회,조용천,외교부,본부대사,건물,"600,000",0,0,"600,000",,
4852,2016,정부공직자윤리위원회,조용천,외교부,본부대사,현금,"120,000",0,"120,000",0,,
4853,2016,정부공직자윤리위원회,조용천,외교부,본부대사,예금,"157,280","769,927","39,532","887,675",,
4854,2016,정부공직자윤리위원회,조용천,외교부,본부대사,채무,"-330,930","-396,000",0,"-726,930",,
4855,2016,정부공직자윤리위원회,조용천,외교부,본부대사,총계,"2,090,543","374,007","159,532","2,305,018",,
4856,2016,정부공직자윤리위원회,조정원,외교부,본부대사,토지,"12,190","18,179",0,"30,369",,
4857,2016,정부공직자윤리위원회,조정원,외교부,본부대사,건물,"357,360","1,980,000","77,500","2,259,860",,
4858,2016,정부공직자윤리위원회,조정원,외교부,본부대사,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"31,000","65,000","31,000","65,000",,
4859,2016,정부공직자윤리위원회,조정원,외교부,본부대사,예금,"2,022,102","1,338,541","776,392","2,584,251",,
4860,2016,정부공직자윤리위원회,조정원,외교부,본부대사,유가증권,"449,797",0,"316,377","133,420",,
4861,2016,정부공직자윤리위원회,조정원,외교부,본부대사,채무,"-49,979","-450,979","-49,979","-450,979",,
4862,2016,정부공직자윤리위원회,조정원,외교부,본부대사,회원권,"71,000",0,"6,000","65,000",,
4863,2016,정부공직자윤리위원회,조정원,외교부,본부대사,고지거부 및 등록제외사항,0,0,0,0,,
4864,2016,정부공직자윤리위원회,조정원,외교부,본부대사,총계,"2,893,470","2,950,741","1,157,290","4,686,921",,
4865,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,건물,"2,175,000","187,900","160,000","2,202,900",,
4866,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"7,000","29,946","7,000","29,946",,
4867,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,예금,"860,234","892,221","637,410","1,115,045",,
4868,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,유가증권,"20,056","27,844","18,754","29,146",,
4869,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,채무,"-1,046,660","-70,000","-1,150","-1,115,510",,
4870,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,고지거부 및 등록제외사항,0,0,0,0,,
4871,2016,정부공직자윤리위원회,홍성화,외교부,본부대사,총계,"2,015,630","1,067,911","822,014","2,261,527",,
4872,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,건물,"1,159,000",0,"100,000","1,059,000",,
4873,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"32,000",0,"3,000","29,000",,
4874,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,예금,"110,012","64,618","37,376","137,254",,
4875,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,채권,"35,000",0,0,"35,000",,
4876,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,채무,"-903,088","-4,083","-86,337","-820,834",,
4877,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,보석류,0,0,0,0,,
4878,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,회원권,"15,800",0,0,"15,800",,
4879,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,고지거부 및 등록제외사항,0,0,0,0,,
4880,2016,정부공직자윤리위원회,김영목,외교부 한국국제협력단,이사장,총계,"448,724","60,535","54,039","455,220",,
4881,2016,정부공직자윤리위원회,조규형,외교부 재외동포재단,이사장,건물,"840,000",0,0,"840,000",,
4882,2016,정부공직자윤리위원회,조규형,외교부 재외동포재단,이사장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"8,720",0,0,"8,720",,
4883,2016,정부공직자윤리위원회,조규형,외교부 재외동포재단,이사장,예금,"301,190","323,611","217,425","407,376",,
4884,2016,정부공직자윤리위원회,조규형,외교부 재외동포재단,이사장,고지거부 및 등록제외사항,0,0,0,0,,
4885,2016,정부공직자윤리위원회,조규형,외교부 재외동포재단,이사장,총계,"1,149,910","323,611","217,425","1,256,096",,
4886,2016,정부공직자윤리위원회,유현석,외교부 한국국제교류재단,이사장,토지,"210,864","11,177",0,"222,041",,
4887,2016,정부공직자윤리위원회,유현석,외교부 한국국제교류재단,이사장,건물,"1,923,000","30,000",0,"1,953,000",,
4888,2016,정부공직자윤리위원회,유현석,외교부 한국국제교류재단,이사장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"22,214",0,"4,042","18,172",,
4889,2016,정부공직자윤리위원회,유현석,외교부 한국국제교류재단,이사장,예금,"349,478","99,772","84,998","364,252",,
4890,2016,정부공직자윤리위원회,유현석,외교부 한국국제교류재단,이사장,채무,"-679,664","-30,999","-45,852","-664,811",,
4891,2016,정부공직자윤리위원회,유현석,외교부 한국국제교류재단,이사장,총계,"1,825,892","109,950","43,188","1,892,654",,
4892,2016,정부공직자윤리위원회,홍용표,통일부,장관,건물,"826,000","370,000","324,000","872,000",,
4893,2016,정부공직자윤리위원회,홍용표,통일부,장관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"25,890","15,710","18,610","22,990",,
4894,2016,정부공직자윤리위원회,홍용표,통일부,장관,예금,"815,903","622,265","639,085","799,083",,
4895,2016,정부공직자윤리위원회,홍용표,통일부,장관,채무,"-607,480","-27,619","-3,623","-631,476",,
4896,2016,정부공직자윤리위원회,홍용표,통일부,장관,회원권,"9,800",0,200,"9,600",,
4897,2016,정부공직자윤리위원회,홍용표,통일부,장관,총계,"1,070,113","980,356","978,272","1,072,197",,
4898,2016,정부공직자윤리위원회,황부기,통일부,차관,건물,"767,000","18,000",0,"785,000",,
4899,2016,정부공직자윤리위원회,황부기,통일부,차관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"1,830",0,260,"1,570",,
4900,2016,정부공직자윤리위원회,황부기,통일부,차관,예금,"207,261","113,746","32,313","288,694",,
4901,2016,정부공직자윤리위원회,황부기,통일부,차관,유가증권,"18,105","22,000","18,105","22,000",,
4902,2016,정부공직자윤리위원회,황부기,통일부,차관,채무,"-44,240",0,0,"-44,240",,
4903,2016,정부공직자윤리위원회,황부기,통일부,차관,총계,"949,956","153,746","50,678","1,053,024",,
4904,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,토지,"107,929","14,341",0,"122,270",,
4905,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,건물,"600,010","29,539","24,639","604,910",,
4906,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"3,980",0,570,"3,410",,
4907,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,예금,"332,990","70,208","159,464","243,734",,
4908,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,채권,"330,000",0,0,"330,000",,
4909,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,채무,"-184,496",0,"-134,694","-49,802",,
4910,2016,정부공직자윤리위원회,최보선,통일부,기획조정실장,총계,"1,190,413","114,088","49,979","1,254,522",,
4911,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,토지,"86,860","1,471",0,"88,331",,
4912,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,건물,"936,655","653,427","330,000","1,260,082",,
4913,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"11,860",0,"1,520","10,340",,
4914,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,예금,"379,988","92,839","165,208","307,619",,
4915,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,유가증권,"35,005",0,"7,513","27,492",,
4916,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,채무,"-47,700","-187,200","-15,000","-219,900",,
4917,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,고지거부 및 등록제외사항,0,0,0,0,,
4918,2016,정부공직자윤리위원회,천해성,통일부,통일정책실장,총계,"1,402,668","560,537","489,241","1,473,964",,
4919,2016,정부공직자윤리위원회,김기웅,통일부 남북회담본부,본부장,건물,"292,000","10,000",0,"302,000",,
4920,2016,정부공직자윤리위원회,김기웅,통일부 남북회담본부,본부장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"7,700",0,550,"7,150",,
4921,2016,정부공직자윤리위원회,김기웅,통일부 남북회담본부,본부장,예금,"33,506","8,400","4,710","37,196",,
4922,2016,정부공직자윤리위원회,김기웅,통일부 남북회담본부,본부장,채무,"-87,102","-30,000","-47,102","-70,000",,
4923,2016,정부공직자윤리위원회,김기웅,통일부 남북회담본부,본부장,고지거부 및 등록제외사항,0,0,0,0,,
4924,2016,정부공직자윤리위원회,김기웅,통일부 남북회담본부,본부장,총계,"246,104","-11,600","-41,842","276,346",,
4925,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,토지,"2,552",25,0,"2,577",,
4926,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,건물,"469,108","64,640","19,750","513,998",,
4927,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,119,0,17,102,,
4928,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,예금,"149,360","51,847",5,"201,202",,
4929,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,채권,"10,000",0,0,"10,000",,
4930,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,채무,"-115,000",0,0,"-115,000",,
4931,2016,정부공직자윤리위원회,배광복,통일부 남북회담본부,상근회담대표,총계,"516,139","116,512","19,772","612,879",,
4932,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,토지,"5,355","1,071",0,"6,426",,
4933,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,건물,"3,028,712","415,500","738,330","2,705,882",,
4934,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"77,090",0,"38,546","38,544",,
4935,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,예금,"272,316","38,036","4,407","305,945",,
4936,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,채무,"-4,499,556","-1,201,179","-1,114,764","-4,585,971",,
4937,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,골동품 및 예술품,"94,000","8,000",0,"102,000",,
4938,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,고지거부 및 등록제외사항,0,0,0,0,,
4939,2016,정부공직자윤리위원회,이금순,통일부 통일교육원,원장,총계,"-1,022,083","-738,572","-333,481","-1,427,174",,
4940,2016,정부공직자윤리위원회,한기수,통일부 북한이탈주민정착지원사무소,소장,건물,"190,000",0,0,"190,000",,
4941,2016,정부공직자윤리위원회,한기수,통일부 북한이탈주민정착지원사무소,소장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"6,730",0,550,"6,180",,
4942,2016,정부공직자윤리위원회,한기수,통일부 북한이탈주민정착지원사무소,소장,예금,"343,520","113,608","126,099","331,029",,
4943,2016,정부공직자윤리위원회,한기수,통일부 북한이탈주민정착지원사무소,소장,채무,"-46,320","-4,810","-34,810","-16,320",,
4944,2016,정부공직자윤리위원회,한기수,통일부 북한이탈주민정착지원사무소,소장,총계,"493,930","108,798","91,839","510,889",,
4945,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,토지,"20,000",0,0,"20,000",,
4946,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,건물,"730,000",0,"254,000","476,000",,
4947,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"7,670",0,"1,360","6,310",,
4948,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,예금,"150,717","30,577","34,108","147,186",,
4949,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,유가증권,0,"2,957",0,"2,957",,
4950,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,채무,"-245,650","-11,801",0,"-257,451",,
4951,2016,정부공직자윤리위원회,손광주,통일부 북한이탈주민지원재단,이사장,총계,"662,737","21,733","289,468","395,002",,
4952,2016,정부공직자윤리위원회,김현웅,법무부,장관,건물,"823,000","111,000","10,000","924,000",,
4953,2016,정부공직자윤리위원회,김현웅,법무부,장관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"4,490",0,"1,120","3,370",,
4954,2016,정부공직자윤리위원회,김현웅,법무부,장관,예금,"113,231","22,059","5,695","129,595",,
4955,2016,정부공직자윤리위원회,김현웅,법무부,장관,채무,"-419,184","-85,521","-9,000","-495,705",,
4956,2016,정부공직자윤리위원회,김현웅,법무부,장관,고지거부 및 등록제외사항,0,0,0,0,,
4957,2016,정부공직자윤리위원회,김현웅,법무부,장관,총계,"521,537","47,538","7,815","561,260",,
4958,2016,정부공직자윤리위원회,이창재,법무부,차관,건물,"1,080,000",0,0,"1,080,000",,
4959,2016,정부공직자윤리위원회,이창재,법무부,차관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"16,890",0,"2,320","14,570",,
4960,2016,정부공직자윤리위원회,이창재,법무부,차관,예금,"55,047","12,261",450,"66,858",,
4961,2016,정부공직자윤리위원회,이창재,법무부,차관,채무,"-386,175","-61,235","-2,400","-445,010",,
4962,2016,정부공직자윤리위원회,이창재,법무부,차관,고지거부 및 등록제외사항,0,0,0,0,,
4963,2016,정부공직자윤리위원회,이창재,법무부,차관,총계,"765,762","-48,974",370,"716,418",,
4964,2016,정부공직자윤리위원회,김호철,법무부,법무실장,건물,"1,112,000","24,000",0,"1,136,000",,
4965,2016,정부공직자윤리위원회,김호철,법무부,법무실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"51,280",0,"6,100","45,180",,
4966,2016,정부공직자윤리위원회,김호철,법무부,법무실장,예금,"290,324","306,608","273,019","323,913",,
4967,2016,정부공직자윤리위원회,김호철,법무부,법무실장,고지거부 및 등록제외사항,0,0,0,0,,
4968,2016,정부공직자윤리위원회,김호철,법무부,법무실장,총계,"1,453,604","330,608","279,119","1,505,093",,
4969,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,토지,"73,242","3,847","4,423","72,666",,
4970,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,건물,"2,215,008","69,205",0,"2,284,213",,
4971,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"35,130",0,"5,010","30,120",,
4972,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,예금,"651,270","160,336","175,627","635,979",,
4973,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,유가증권,"1,720",0,0,"1,720",,
4974,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,채무,0,"-5,786",0,"-5,786",,
4975,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,회원권,"1,000",0,0,"1,000",,
4976,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,고지거부 및 등록제외사항,0,0,0,0,,
4977,2016,정부공직자윤리위원회,안태근,법무부,검찰국장,총계,"2,977,370","227,602","185,060","3,019,912",,
4978,2016,정부공직자윤리위원회,장인종,법무부,감찰관,건물,"1,880,000",0,0,"1,880,000",,
4979,2016,정부공직자윤리위원회,장인종,법무부,감찰관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"22,990",0,"3,640","19,350",,
4980,2016,정부공직자윤리위원회,장인종,법무부,감찰관,예금,"1,711,650","261,843","124,343","1,849,150",,
4981,2016,정부공직자윤리위원회,장인종,법무부,감찰관,채권,"30,000",0,"30,000",0,,
4982,2016,정부공직자윤리위원회,장인종,법무부,감찰관,채무,"-600,000",0,0,"-600,000",,
4983,2016,정부공직자윤리위원회,장인종,법무부,감찰관,회원권,"358,661",0,0,"358,661",,
4984,2016,정부공직자윤리위원회,장인종,법무부,감찰관,합명·합자·유한회사 출자지분,"594,986",0,"29,986","565,000",,
4985,2016,정부공직자윤리위원회,장인종,법무부,감찰관,고지거부 및 등록제외사항,0,0,0,0,,
4986,2016,정부공직자윤리위원회,장인종,법무부,감찰관,총계,"3,998,287","261,843","187,969","4,072,161",,
4987,2016,정부공직자윤리위원회,김희관,법무부 법무연수원,원장,건물,"832,000","76,000",0,"908,000",,
4988,2016,정부공직자윤리위원회,김희관,법무부 법무연수원,원장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"34,240",0,"4,500","29,740",,
4989,2016,정부공직자윤리위원회,김희관,법무부 법무연수원,원장,예금,"103,737","10,366","1,409","112,694",,
4990,2016,정부공직자윤리위원회,김희관,법무부 법무연수원,원장,채무,"-72,804","-16,320","-4,366","-84,758",,
4991,2016,정부공직자윤리위원회,김희관,법무부 법무연수원,원장,고지거부 및 등록제외사항,0,0,0,0,,
4992,2016,정부공직자윤리위원회,김희관,법무부 법무연수원,원장,총계,"897,173","70,046","1,543","965,676",,
4993,2016,정부공직자윤리위원회,이명재,법무부 법무연수원,기획부장,건물,"795,000","15,000",0,"810,000",,
4994,2016,정부공직자윤리위원회,이명재,법무부 법무연수원,기획부장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"36,310",0,"4,440","31,870",,
4995,2016,정부공직자윤리위원회,이명재,법무부 법무연수원,기획부장,예금,"147,190","61,731","52,147","156,774",,
4996,2016,정부공직자윤리위원회,이명재,법무부 법무연수원,기획부장,채무,"-25,780",-827,0,"-26,607",,
4997,2016,정부공직자윤리위원회,이명재,법무부 법무연수원,기획부장,총계,"952,720","75,904","56,587","972,037",,
4998,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,토지,"2,060,363","49,694",0,"2,110,057",,
4999,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,건물,"1,204,000",0,"3,000","1,201,000",,
5000,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"16,200",0,"1,000","15,200",,
5001,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,예금,"116,175","21,112","1,762","135,525",,
5002,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,채무,"-41,000","-29,970",0,"-70,970",,
5003,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,고지거부 및 등록제외사항,0,0,0,0,,
5004,2016,정부공직자윤리위원회,조은석,법무부 사법연수원,부원장,총계,"3,355,738","40,836","5,762","3,390,812",,
5005,2016,정부공직자윤리위원회,윤경식,법무부,교정본부장,건물,"284,400","130,800",0,"415,200",,
5006,2016,정부공직자윤리위원회,윤경식,법무부,교정본부장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"5,670",0,0,"5,670",,
5007,2016,정부공직자윤리위원회,윤경식,법무부,교정본부장,예금,"381,025","201,297","118,979","463,343",,
5008,2016,정부공직자윤리위원회,윤경식,법무부,교정본부장,채무,0,"-130,800",0,"-130,800",,
5009,2016,정부공직자윤리위원회,윤경식,법무부,교정본부장,총계,"671,095","201,297","118,979","753,413",,
5010,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,건물,"2,379,000","234,000",0,"2,613,000",,
5011,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"1,000","51,970","1,000","51,970",,
5012,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,예금,"1,179,695","12,839,357","150,929","13,868,123",,
5013,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,유가증권,"8,806,078","3,798,539","12,604,617",0,,
5014,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,채무,"-677,000","-200,000",0,"-877,000",,
5015,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,고지거부 및 등록제외사항,0,0,0,0,,
5016,2016,정부공직자윤리위원회,진경준,법무부,출입국?외국인정책본부장,총계,"11,688,773","16,723,866","12,756,546","15,656,093",,
5017,2016,정부공직자윤리위원회,한민구,국방부,장관,건물,"1,082,000","769,000","867,000","984,000",,
5018,2016,정부공직자윤리위원회,한민구,국방부,장관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"26,230","7,840","26,230","7,840",,
5019,2016,정부공직자윤리위원회,한민구,국방부,장관,예금,"725,758","374,304","357,502","742,560",,
5020,2016,정부공직자윤리위원회,한민구,국방부,장관,채권,"90,000",0,0,"90,000",,
5021,2016,정부공직자윤리위원회,한민구,국방부,장관,채무,"-550,158","-150,000","-550,158","-150,000",,
5022,2016,정부공직자윤리위원회,한민구,국방부,장관,총계,"1,373,830","1,001,144","700,574","1,674,400",,
5023,2016,정부공직자윤리위원회,황인무,국방부,차관,토지,"301,320",0,0,"301,320",,
5024,2016,정부공직자윤리위원회,황인무,국방부,차관,건물,"195,000","100,000","10,000","285,000",,
5025,2016,정부공직자윤리위원회,황인무,국방부,차관,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"55,000",0,0,"55,000",,
5026,2016,정부공직자윤리위원회,황인무,국방부,차관,예금,"1,002,358","140,817","212,045","931,130",,
5027,2016,정부공직자윤리위원회,황인무,국방부,차관,채무,"-116,000",0,-437,"-115,563",,
5028,2016,정부공직자윤리위원회,황인무,국방부,차관,총계,"1,437,678","240,817","221,608","1,456,887",,
5029,2016,정부공직자윤리위원회,황희종,국방부,기획조정실장,건물,"542,600",0,"10,000","532,600",,
5030,2016,정부공직자윤리위원회,황희종,국방부,기획조정실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"32,050",0,"7,570","24,480",,
5031,2016,정부공직자윤리위원회,황희종,국방부,기획조정실장,예금,"62,754","42,333","5,275","99,812",,
5032,2016,정부공직자윤리위원회,황희종,국방부,기획조정실장,채무,"-492,691","-1,300","-44,473","-449,518",,
5033,2016,정부공직자윤리위원회,황희종,국방부,기획조정실장,총계,"144,713","41,033","-21,628","207,374",,
5034,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,토지,"140,578",0,0,"140,578",,
5035,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,건물,"404,000",0,"12,000","392,000",,
5036,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"14,180",0,0,"14,180",,
5037,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,예금,"60,058","12,439",486,"72,011",,
5038,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,채권,"280,000",0,0,"280,000",,
5039,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,채무,"-819,258","-32,635","-105,889","-746,004",,
5040,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,고지거부 및 등록제외사항,0,0,0,0,,
5041,2016,정부공직자윤리위원회,강병주,국방부,전력자원관리실장,총계,"79,558","-20,196","-93,403","152,765",,
5042,2016,정부공직자윤리위원회,류제승,국방부,국방정책실장,건물,"825,000","520,000","560,000","785,000",,
5043,2016,정부공직자윤리위원회,류제승,국방부,국방정책실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"34,800",0,"7,390","27,410",,
5044,2016,정부공직자윤리위원회,류제승,국방부,국방정책실장,예금,"659,719","437,755","306,234","791,240",,
5045,2016,정부공직자윤리위원회,류제승,국방부,국방정책실장,유가증권,0,"22,160",0,"22,160",,
5046,2016,정부공직자윤리위원회,류제승,국방부,국방정책실장,채무,"-273,600",0,"-3,600","-270,000",,
5047,2016,정부공직자윤리위원회,류제승,국방부,국방정책실장,총계,"1,245,919","979,915","870,024","1,355,810",,
5048,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,토지,"44,402",0,"44,402",0,,
5049,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,건물,"487,400","47,302","11,000","523,702",,
5050,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"23,080",0,"3,000","20,080",,
5051,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,예금,"503,759","183,615","86,258","601,116",,
5052,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,유가증권,"60,775",0,"59,862",913,,
5053,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,채무,"-364,340","-161,871","-231,134","-295,077",,
5054,2016,정부공직자윤리위원회,황우웅,국방부,인사복지실장,총계,"755,076","69,046","-26,612","850,734",,
5055,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,토지,"11,488",500,0,"11,988",,
5056,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,건물,"560,000",0,0,"560,000",,
5057,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"1,500",0,0,"1,500",,
5058,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,예금,"245,266","74,208","34,093","285,381",,
5059,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,채권,"30,000",0,"30,000",0,,
5060,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,채무,"-29,486",0,"-10,167","-19,319",,
5061,2016,정부공직자윤리위원회,김학주,국방부,군구조?국방운영개혁추진실장,총계,"818,768","74,708","53,926","839,550",,
5062,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,토지,"77,029","1,658",0,"78,687",,
5063,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,건물,"411,796",0,"27,208","384,588",,
5064,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"6,000","1,420",0,"7,420",,
5065,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,예금,"630,389","176,863","103,257","703,995",,
5066,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,유가증권,"11,284","4,425","1,518","14,191",,
5067,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,채무,"-235,000","-225,000","-235,000","-225,000",,
5068,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,고지거부 및 등록제외사항,0,0,0,0,,
5069,2016,정부공직자윤리위원회,이순진,국방부,합동참모의장,총계,"901,498","-40,634","-103,017","963,881",,
5070,2016,정부공직자윤리위원회,장준규,국방부,-,건물,"260,000",0,"260,000",0,,
5071,2016,정부공직자윤리위원회,장준규,국방부,-,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"2,250",0,250,"2,000",,
5072,2016,정부공직자윤리위원회,장준규,국방부,-,예금,"405,969","205,718","10,967","600,720",,
5073,2016,정부공직자윤리위원회,장준규,국방부,-,유가증권,"27,364",0,"2,130","25,234",,
5074,2016,정부공직자윤리위원회,장준규,국방부,-,채권,"50,000",0,0,"50,000",,
