순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액
1,2011,국회공직자윤리위원회,박희태,국회,국회의장,토지,"3,174,215 ","108,477 ","28,934 ","3,253,758 "
2,2011,국회공직자윤리위원회,박희태,국회,국회의장,건물,"6,155,543 ","186,613 ","5,317 ","6,336,839 "
3,2011,국회공직자윤리위원회,박희태,국회,국회의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"96,100 ",0 ,"78,270 ","17,830 "
4,2011,국회공직자윤리위원회,박희태,국회,국회의장,예금,"27,431 ","3,053 ","9,640 ","20,844 "
5,2011,국회공직자윤리위원회,박희태,국회,국회의장,유가증권,"50,876 ",0 ,"50,876 ",0 
6,2011,국회공직자윤리위원회,박희태,국회,국회의장,채무,"-500,000 ",0 ,0 ,"-500,000 "
7,2011,국회공직자윤리위원회,박희태,국회,국회의장,회원권,"477,700 ","105,000 ",0 ,"582,700 "
8,2011,국회공직자윤리위원회,박희태,국회,국회의장,총계,"9,481,865 ","403,143 ","173,037 ","9,711,971 "
9,2011,국회공직자윤리위원회,정의화,국회,국회부의장,토지,"3,352,719 ","54,805 ","92,747 ","3,314,777 "
10,2011,국회공직자윤리위원회,정의화,국회,국회부의장,건물,"14,334,325 ","1,032,077 ","799,962 ","14,566,440 "
11,2011,국회공직자윤리위원회,정의화,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"125,980 ",0 ,"81,110 ","44,870 "
12,2011,국회공직자윤리위원회,정의화,국회,국회부의장,예금,"6,643,203 ","4,000,290 ","2,517,709 ","8,125,784 "
13,2011,국회공직자윤리위원회,정의화,국회,국회부의장,유가증권,"560,256 ","9,916 ","125,172 ","445,000 "
14,2011,국회공직자윤리위원회,정의화,국회,국회부의장,채무,"-13,123,926 ","-5,115,674 ","-6,723,801 ","-11,515,799 "
15,2011,국회공직자윤리위원회,정의화,국회,국회부의장,금 및 백금,"15,000 ","2,800 ",0 ,"17,800 "
16,2011,국회공직자윤리위원회,정의화,국회,국회부의장,보석류,"19,700 ",0 ,0 ,"19,700 "
17,2011,국회공직자윤리위원회,정의화,국회,국회부의장,비영리법인에의한 출연재산,,,,
18,2011,국회공직자윤리위원회,정의화,국회,국회부의장,회원권,"233,152 ","62,463 ","2,700 ","292,915 "
19,2011,국회공직자윤리위원회,정의화,국회,국회부의장,총계,"12,160,409 ","46,677 ","-3,104,401 ","15,311,487 "
20,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,건물,"1,392,820 ","32,000 ",0 ,"1,424,820 "
21,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"21,830 ",0 ,"4,640 ","17,190 "
22,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,현금,"2,200 ","11,800 ",0 ,"14,000 "
23,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,예금,"442,620 ","58,367 ","126,805 ","374,182 "
24,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,회원권,"27,000 ",0 ,0 ,"27,000 "
25,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,고지거부 및 등록제외사항,"630,371 ",0 ,"630,371 ",0 
26,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,총계,"2,516,841 ","102,167 ","761,816 ","1,857,192 "
27,2011,국회공직자윤리위원회,강기갑,국회,국회의원,토지,"324,172 ","5,689 ","30,463 ","299,398 "
28,2011,국회공직자윤리위원회,강기갑,국회,국회의원,건물,"113,813 ","27,496 ",8 ,"141,301 "
29,2011,국회공직자윤리위원회,강기갑,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"9,859 ",0 ,0 ,"9,859 "
30,2011,국회공직자윤리위원회,강기갑,국회,국회의원,예금,"52,912 ","50,019 ","9,729 ","93,202 "
31,2011,국회공직자윤리위원회,강기갑,국회,국회의원,채무,"-337,928 ","-127,780 ","-139,914 ","-325,794 "
32,2011,국회공직자윤리위원회,강기갑,국회,국회의원,총계,"162,828 ","-44,576 ","-99,714 ","217,966 "
33,2011,국회공직자윤리위원회,강기정,국회,국회의원,건물,"123,000 ","1,000 ",0 ,"124,000 "
34,2011,국회공직자윤리위원회,강기정,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"16,288 ",0 ,980 ,"15,308 "
35,2011,국회공직자윤리위원회,강기정,국회,국회의원,예금,"564,385 ","239,645 ","112,488 ","691,542 "
36,2011,국회공직자윤리위원회,강기정,국회,국회의원,유가증권,"1,000 ",0 ,0 ,"1,000 "
37,2011,국회공직자윤리위원회,강기정,국회,국회의원,채권,"48,000 ",0 ,0 ,"48,000 "
38,2011,국회공직자윤리위원회,강기정,국회,국회의원,채무,"-115,185 ",0 ,"-10,313 ","-104,872 "
39,2011,국회공직자윤리위원회,강기정,국회,국회의원,총계,"637,488 ","240,645 ","103,155 ","774,978 "
40,2011,국회공직자윤리위원회,강길부,국회,국회의원,토지,"1,075,341 ","32,664 ",0 ,"1,108,005 "
41,2011,국회공직자윤리위원회,강길부,국회,국회의원,건물,"1,921,602 ",928 ,"2,000 ","1,920,530 "
42,2011,국회공직자윤리위원회,강길부,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"17,870 ",0 ,"1,690 ","16,180 "
43,2011,국회공직자윤리위원회,강길부,국회,국회의원,예금,"188,157 ","30,130 ","4,040 ","214,247 "
44,2011,국회공직자윤리위원회,강길부,국회,국회의원,유가증권,"305,970 ","21,120 ",0 ,"327,090 "
45,2011,국회공직자윤리위원회,강길부,국회,국회의원,채권,"270,000 ",0 ,0 ,"270,000 "
46,2011,국회공직자윤리위원회,강길부,국회,국회의원,채무,"-683,450 ","-39,600 ","-19,450 ","-703,600 "
47,2011,국회공직자윤리위원회,강길부,국회,국회의원,회원권,"1,500 ",0 ,0 ,"1,500 "
48,2011,국회공직자윤리위원회,강길부,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
49,2011,국회공직자윤리위원회,강길부,국회,국회의원,총계,"3,096,990 ","45,242 ","-11,720 ","3,153,952 "
50,2011,국회공직자윤리위원회,강명순,국회,국회의원,건물,"236,000 ","4,000 ",0 ,"240,000 "
51,2011,국회공직자윤리위원회,강명순,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"18,200 ","20,000 ","4,700 ","33,500 "
52,2011,국회공직자윤리위원회,강명순,국회,국회의원,예금,"43,917 ","11,767 ","4,310 ","51,374 "
53,2011,국회공직자윤리위원회,강명순,국회,국회의원,채무,"-101,669 ",0 ,"-14,951 ","-86,718 "
54,2011,국회공직자윤리위원회,강명순,국회,국회의원,총계,"196,448 ","35,767 ","-5,941 ","238,156 "
55,2011,국회공직자윤리위원회,강봉균,국회,국회의원,토지,"208,593 ","8,605 ",85 ,"217,113 "
56,2011,국회공직자윤리위원회,강봉균,국회,국회의원,건물,"1,555,433 ","360,667 ","80,000 ","1,836,100 "
57,2011,국회공직자윤리위원회,강봉균,국회,국회의원,예금,"406,755 ","18,147 ","36,783 ","388,119 "
58,2011,국회공직자윤리위원회,강봉균,국회,국회의원,채권,"230,000 ",0 ,0 ,"230,000 "
59,2011,국회공직자윤리위원회,강봉균,국회,국회의원,채무,"-330,000 ",0 ,0 ,"-330,000 "
60,2011,국회공직자윤리위원회,강봉균,국회,국회의원,회원권,"28,000 ",0 ,0 ,"28,000 "
61,2011,국회공직자윤리위원회,강봉균,국회,국회의원,총계,"2,098,781 ","387,419 ","116,868 ","2,369,332 "
62,2011,국회공직자윤리위원회,강석호,국회,국회의원,토지,"1,995,472 ","27,267 ","77,773 ","1,944,966 "
63,2011,국회공직자윤리위원회,강석호,국회,국회의원,건물,"2,510,131 ","27,325 ","679,859 ","1,857,597 "
64,2011,국회공직자윤리위원회,강석호,국회,국회의원,예금,"3,695,766 ","2,669,613 ","1,820,039 ","4,545,340 "
65,2011,국회공직자윤리위원회,강석호,국회,국회의원,유가증권,"7,484,102 ","476,231 ","359,041 ","7,601,292 "
66,2011,국회공직자윤리위원회,강석호,국회,국회의원,채무,"-120,000 ",0 ,0 ,"-120,000 "
67,2011,국회공직자윤리위원회,강석호,국회,국회의원,회원권,"5,950 ",0 ,0 ,"5,950 "
68,2011,국회공직자윤리위원회,강석호,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
69,2011,국회공직자윤리위원회,강석호,국회,국회의원,총계,"15,571,421 ","3,200,436 ","2,936,712 ","15,835,145 "
70,2011,국회공직자윤리위원회,강성종,국회,국회의원,토지,"116,802 ","2,430 ",0 ,"119,232 "
71,2011,국회공직자윤리위원회,강성종,국회,국회의원,건물,"355,566 ","16,690 ","4,000 ","368,256 "
72,2011,국회공직자윤리위원회,강성종,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"49,800 ",0 ,130 ,"49,670 "
73,2011,국회공직자윤리위원회,강성종,국회,국회의원,현금,"150,000 ",0 ,"100,000 ","50,000 "
74,2011,국회공직자윤리위원회,강성종,국회,국회의원,예금,"342,883 ","22,300 ","238,023 ","127,160 "
75,2011,국회공직자윤리위원회,강성종,국회,국회의원,유가증권,"90,000 ",0 ,0 ,"90,000 "
76,2011,국회공직자윤리위원회,강성종,국회,국회의원,채무,"-208,311 ",0 ,"-48,330 ","-159,981 "
77,2011,국회공직자윤리위원회,강성종,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
78,2011,국회공직자윤리위원회,강성종,국회,국회의원,총계,"896,740 ","41,420 ","293,823 ","644,337 "
79,2011,국회공직자윤리위원회,강성천,국회,국회의원,건물,"929,000 ","32,000 ",0 ,"961,000 "
80,2011,국회공직자윤리위원회,강성천,국회,국회의원,예금,"166,058 ","55,786 ","24,814 ","197,030 "
81,2011,국회공직자윤리위원회,강성천,국회,국회의원,유가증권,"17,304 ","1,500 ","3,668 ","15,136 "
82,2011,국회공직자윤리위원회,강성천,국회,국회의원,채권,"642,000 ","290,000 ",0 ,"932,000 "
83,2011,국회공직자윤리위원회,강성천,국회,국회의원,채무,0 ,"-208,263 ",0 ,"-208,263 "
84,2011,국회공직자윤리위원회,강성천,국회,국회의원,총계,"1,754,362 ","171,023 ","28,482 ","1,896,903 "
85,2011,국회공직자윤리위원회,강승규,국회,국회의원,토지,"22,836 ",0 ,0 ,"22,836 "
86,2011,국회공직자윤리위원회,강승규,국회,국회의원,건물,"1,214,294 ",0 ,0 ,"1,214,294 "
87,2011,국회공직자윤리위원회,강승규,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"29,165 ",0 ,0 ,"29,165 "
88,2011,국회공직자윤리위원회,강승규,국회,국회의원,현금,850 ,0 ,0 ,850 
89,2011,국회공직자윤리위원회,강승규,국회,국회의원,예금,"185,546 ","51,042 ","34,579 ","202,009 "
90,2011,국회공직자윤리위원회,강승규,국회,국회의원,채무,"-518,440 ",-646 ,"-38,983 ","-480,103 "
91,2011,국회공직자윤리위원회,강승규,국회,국회의원,총계,"934,251 ","50,396 ","-4,404 ","989,051 "
92,2011,국회공직자윤리위원회,강용석,국회,국회의원,토지,"537,187 ","9,920 ",0 ,"547,107 "
93,2011,국회공직자윤리위원회,강용석,국회,국회의원,건물,"1,628,000 ","1,068,000 ","1,568,000 ","1,128,000 "
94,2011,국회공직자윤리위원회,강용석,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"73,400 ",0 ,0 ,"73,400 "
95,2011,국회공직자윤리위원회,강용석,국회,국회의원,현금,"10,000 ",0 ,0 ,"10,000 "
96,2011,국회공직자윤리위원회,강용석,국회,국회의원,예금,"132,894 ","83,097 ","91,584 ","124,407 "
97,2011,국회공직자윤리위원회,강용석,국회,국회의원,유가증권,"70,000 ",0 ,0 ,"70,000 "
98,2011,국회공직자윤리위원회,강용석,국회,국회의원,채무,"-1,206,738 ","-859,046 ","-1,126,028 ","-939,756 "
99,2011,국회공직자윤리위원회,강용석,국회,국회의원,총계,"1,244,743 ","301,971 ","533,556 ","1,013,158 "
100,2011,국회공직자윤리위원회,강창일,국회,국회의원,토지,"1,264 ",0 ,64 ,"1,200 "
101,2011,국회공직자윤리위원회,강창일,국회,국회의원,건물,"583,403 ","136,000 ","1,201 ","718,202 "
102,2011,국회공직자윤리위원회,강창일,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"18,338 ",0 ,"1,000 ","17,338 "
103,2011,국회공직자윤리위원회,강창일,국회,국회의원,예금,"240,549 ","90,845 ","108,092 ","223,302 "
104,2011,국회공직자윤리위원회,강창일,국회,국회의원,채무,"-139,498 ","-94,604 ","-31,446 ","-202,656 "
105,2011,국회공직자윤리위원회,강창일,국회,국회의원,총계,"704,056 ","132,241 ","78,911 ","757,386 "
106,2011,국회공직자윤리위원회,고승덕,국회,국회의원,토지,"19,273 ",385 ,0 ,"19,658 "
107,2011,국회공직자윤리위원회,고승덕,국회,국회의원,건물,"2,269,000 ","552,000 ",0 ,"2,821,000 "
108,2011,국회공직자윤리위원회,고승덕,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"21,000 ",0 ,"3,000 ","18,000 "
109,2011,국회공직자윤리위원회,고승덕,국회,국회의원,현금,"40,000 ",0 ,"40,000 ",0 
110,2011,국회공직자윤리위원회,고승덕,국회,국회의원,예금,"2,046,097 ","646,035 ","624,439 ","2,067,693 "
111,2011,국회공직자윤리위원회,고승덕,국회,국회의원,채권,"2,793,842 ",0 ,0 ,"2,793,842 "
112,2011,국회공직자윤리위원회,고승덕,국회,국회의원,채무,"-365,000 ",0 ,0 ,"-365,000 "
113,2011,국회공직자윤리위원회,고승덕,국회,국회의원,비영리법인에의한 출연재산,,,,
114,2011,국회공직자윤리위원회,고승덕,국회,국회의원,지식재산권,,,,
115,2011,국회공직자윤리위원회,고승덕,국회,국회의원,합명·합자·유한회사 출자지분,0 ,"50,000 ",0 ,"50,000 "
116,2011,국회공직자윤리위원회,고승덕,국회,국회의원,회원권,"610,000 ",0 ,"67,500 ","542,500 "
117,2011,국회공직자윤리위원회,고승덕,국회,국회의원,총계,"7,434,212 ","1,248,420 ","734,939 ","7,947,693 "
118,2011,국회공직자윤리위원회,고흥길,국회,국회의원,건물,"966,303 ","104,000 ",0 ,"1,070,303 "
119,2011,국회공직자윤리위원회,고흥길,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"30,618 ",0 ,"3,818 ","26,800 "
120,2011,국회공직자윤리위원회,고흥길,국회,국회의원,현금,"26,000 ",0 ,"3,000 ","23,000 "
121,2011,국회공직자윤리위원회,고흥길,국회,국회의원,예금,"444,188 ","373,046 ","391,675 ","425,559 "
122,2011,국회공직자윤리위원회,고흥길,국회,국회의원,회원권,"9,000 ","6,800 ",0 ,"15,800 "
123,2011,국회공직자윤리위원회,고흥길,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
124,2011,국회공직자윤리위원회,고흥길,국회,국회의원,총계,"1,476,109 ","483,846 ","398,493 ","1,561,462 "
125,2011,국회공직자윤리위원회,공성진,국회,국회의원,토지,"183,850 ","3,657 ",1 ,"187,506 "
126,2011,국회공직자윤리위원회,공성진,국회,국회의원,건물,"2,352,000 ","240,000 ",0 ,"2,592,000 "
127,2011,국회공직자윤리위원회,공성진,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"31,140 ",0 ,"5,400 ","25,740 "
128,2011,국회공직자윤리위원회,공성진,국회,국회의원,예금,"275,201 ","15,928 ","81,258 ","209,871 "
129,2011,국회공직자윤리위원회,공성진,국회,국회의원,유가증권,803 ,68 ,23 ,848 
130,2011,국회공직자윤리위원회,공성진,국회,국회의원,채권,"400,000 ",0 ,0 ,"400,000 "
131,2011,국회공직자윤리위원회,공성진,국회,국회의원,채무,"-866,317 ","-123,005 ","-60,807 ","-928,515 "
132,2011,국회공직자윤리위원회,공성진,국회,국회의원,회원권,"108,000 ",0 ,"108,000 ",0 
133,2011,국회공직자윤리위원회,공성진,국회,국회의원,총계,"2,484,677 ","136,648 ","133,875 ","2,487,450 "
134,2011,국회공직자윤리위원회,곽정숙,국회,국회의원,건물,"68,000 ","3,000 ",0 ,"71,000 "
135,2011,국회공직자윤리위원회,곽정숙,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"7,416 ",0 ,0 ,"7,416 "
136,2011,국회공직자윤리위원회,곽정숙,국회,국회의원,예금,"157,800 ","63,973 ","38,268 ","183,505 "
137,2011,국회공직자윤리위원회,곽정숙,국회,국회의원,채무,"-28,763 ",0 ,"-23,160 ","-5,603 "
138,2011,국회공직자윤리위원회,곽정숙,국회,국회의원,총계,"204,453 ","66,973 ","15,108 ","256,318 "
139,2011,국회공직자윤리위원회,구상찬,국회,국회의원,토지,"24,990 ",0 ,0 ,"24,990 "
140,2011,국회공직자윤리위원회,구상찬,국회,국회의원,건물,"735,000 ","130,000 ","10,000 ","855,000 "
141,2011,국회공직자윤리위원회,구상찬,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"14,620 ",0 ,"1,560 ","13,060 "
142,2011,국회공직자윤리위원회,구상찬,국회,국회의원,예금,"187,051 ","12,073 ","66,466 ","132,658 "
143,2011,국회공직자윤리위원회,구상찬,국회,국회의원,유가증권,"28,219 ","32,088 ","28,219 ","32,088 "
144,2011,국회공직자윤리위원회,구상찬,국회,국회의원,채무,"-449,658 ",0 ,"-31,449 ","-418,209 "
145,2011,국회공직자윤리위원회,구상찬,국회,국회의원,총계,"540,222 ","174,161 ","74,796 ","639,587 "
146,2011,국회공직자윤리위원회,권경석,국회,국회의원,건물,"535,000 ","136,000 ","70,000 ","601,000 "
147,2011,국회공직자윤리위원회,권경석,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"76,826 ",0 ,"13,173 ","63,653 "
148,2011,국회공직자윤리위원회,권경석,국회,국회의원,예금,"378,472 ","123,645 ","262,615 ","239,502 "
149,2011,국회공직자윤리위원회,권경석,국회,국회의원,채무,"-80,700 ","-4,275 ","-14,417 ","-70,558 "
150,2011,국회공직자윤리위원회,권경석,국회,국회의원,총계,"909,598 ","255,370 ","331,371 ","833,597 "
151,2011,국회공직자윤리위원회,권선택,국회,국회의원,토지,"1,472,884 ","146,162 ","2,772 ","1,616,274 "
152,2011,국회공직자윤리위원회,권선택,국회,국회의원,건물,"993,300 ","42,000 ","103,570 ","931,730 "
153,2011,국회공직자윤리위원회,권선택,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,0 ,0 ,0 ,0 
154,2011,국회공직자윤리위원회,권선택,국회,국회의원,예금,"737,714 ","319,119 ","230,764 ","826,069 "
155,2011,국회공직자윤리위원회,권선택,국회,국회의원,유가증권,"28,286 ","8,168 ","13,358 ","23,096 "
156,2011,국회공직자윤리위원회,권선택,국회,국회의원,채무,"-211,000 ","-25,000 ",0 ,"-236,000 "
157,2011,국회공직자윤리위원회,권선택,국회,국회의원,총계,"3,021,184 ","490,449 ","350,464 ","3,161,169 "
158,2011,국회공직자윤리위원회,권성동,국회,국회의원,토지,384 ,0 ,384 ,0 
159,2011,국회공직자윤리위원회,권성동,국회,국회의원,건물,"1,064,000 ","208,000 ","16,000 ","1,256,000 "
160,2011,국회공직자윤리위원회,권성동,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,0 ,"14,090 ",0 ,"14,090 "
161,2011,국회공직자윤리위원회,권성동,국회,국회의원,예금,"1,649,991 ","837,879 ","847,001 ","1,640,869 "
162,2011,국회공직자윤리위원회,권성동,국회,국회의원,유가증권,"28,450 ","34,800 ","27,450 ","35,800 "
163,2011,국회공직자윤리위원회,권성동,국회,국회의원,채권,"30,000 ",0 ,"20,000 ","10,000 "
164,2011,국회공직자윤리위원회,권성동,국회,국회의원,채무,"-33,835 ",0 ,"-7,768 ","-26,067 "
165,2011,국회공직자윤리위원회,권성동,국회,국회의원,회원권,"165,600 ",0 ,0 ,"165,600 "
166,2011,국회공직자윤리위원회,권성동,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
167,2011,국회공직자윤리위원회,권성동,국회,국회의원,총계,"2,904,590 ","1,094,769 ","903,067 ","3,096,292 "
168,2011,국회공직자윤리위원회,권영길,국회,국회의원,토지,"27,186 ","3,073 ",0 ,"30,259 "
169,2011,국회공직자윤리위원회,권영길,국회,국회의원,건물,"978,000 ","42,500 ","3,000 ","1,017,500 "
170,2011,국회공직자윤리위원회,권영길,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"13,600 ",0 ,"1,860 ","11,740 "
171,2011,국회공직자윤리위원회,권영길,국회,국회의원,예금,"419,190 ","276,269 ","255,755 ","439,704 "
172,2011,국회공직자윤리위원회,권영길,국회,국회의원,유가증권,143 ,0 ,92 ,51 
173,2011,국회공직자윤리위원회,권영길,국회,국회의원,채무,"-275,000 ",0 ,0 ,"-275,000 "
174,2011,국회공직자윤리위원회,권영길,국회,국회의원,총계,"1,163,119 ","321,842 ","260,707 ","1,224,254 "
175,2011,국회공직자윤리위원회,권영세,국회,국회의원,건물,"2,114,000 ","234,000 ",0 ,"2,348,000 "
176,2011,국회공직자윤리위원회,권영세,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"14,340 ",0 ,830 ,"13,510 "
177,2011,국회공직자윤리위원회,권영세,국회,국회의원,현금,"20,000 ",0 ,0 ,"20,000 "
178,2011,국회공직자윤리위원회,권영세,국회,국회의원,예금,"18,561 ","41,796 ","1,981 ","58,376 "
179,2011,국회공직자윤리위원회,권영세,국회,국회의원,유가증권,"27,650 ","9,170 ",0 ,"36,820 "
180,2011,국회공직자윤리위원회,권영세,국회,국회의원,채무,"-949,992 ",0 ,0 ,"-949,992 "
181,2011,국회공직자윤리위원회,권영세,국회,국회의원,골동품 및 예술품,"85,000 ",0 ,0 ,"85,000 "
182,2011,국회공직자윤리위원회,권영세,국회,국회의원,회원권,"42,000 ",0 ,0 ,"42,000 "
183,2011,국회공직자윤리위원회,권영세,국회,국회의원,총계,"1,371,559 ","284,966 ","2,811 ","1,653,714 "
184,2011,국회공직자윤리위원회,권영진,국회,국회의원,건물,"373,000 ","9,000 ",0 ,"382,000 "
185,2011,국회공직자윤리위원회,권영진,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"11,340 ",0 ,0 ,"11,340 "
186,2011,국회공직자윤리위원회,권영진,국회,국회의원,예금,"238,281 ","163,539 ","101,867 ","299,953 "
187,2011,국회공직자윤리위원회,권영진,국회,국회의원,유가증권,"144,855 ","93,878 ","85,321 ","153,412 "
188,2011,국회공직자윤리위원회,권영진,국회,국회의원,채무,"-250,000 ",0 ,0 ,"-250,000 "
189,2011,국회공직자윤리위원회,권영진,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
190,2011,국회공직자윤리위원회,권영진,국회,국회의원,총계,"517,476 ","266,417 ","187,188 ","596,705 "
191,2011,국회공직자윤리위원회,권택기,국회,국회의원,건물,"334,000 ","2,000 ",0 ,"336,000 "
192,2011,국회공직자윤리위원회,권택기,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"30,386 ",0 ,0 ,"30,386 "
193,2011,국회공직자윤리위원회,권택기,국회,국회의원,현금,"5,000 ",0 ,0 ,"5,000 "
194,2011,국회공직자윤리위원회,권택기,국회,국회의원,예금,"597,775 ","255,714 ","53,955 ","799,534 "
195,2011,국회공직자윤리위원회,권택기,국회,국회의원,채무,"-292,693 ","-40,000 ","-52,225 ","-280,468 "
196,2011,국회공직자윤리위원회,권택기,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
197,2011,국회공직자윤리위원회,권택기,국회,국회의원,총계,"674,468 ","217,714 ","1,730 ","890,452 "
198,2011,국회공직자윤리위원회,김광림,국회,국회의원,토지,"50,796 ","45,612 ",0 ,"96,408 "
199,2011,국회공직자윤리위원회,김광림,국회,국회의원,건물,"3,104,125 ","98,533 ","104,000 ","3,098,658 "
200,2011,국회공직자윤리위원회,김광림,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"10,530 ",0 ,"1,090 ","9,440 "
201,2011,국회공직자윤리위원회,김광림,국회,국회의원,예금,"909,415 ","1,124,983 ","559,667 ","1,474,731 "
202,2011,국회공직자윤리위원회,김광림,국회,국회의원,유가증권,"4,347 ",0 ,"4,328 ",19 
203,2011,국회공직자윤리위원회,김광림,국회,국회의원,채권,"50,000 ",0 ,"50,000 ",0 
204,2011,국회공직자윤리위원회,김광림,국회,국회의원,채무,"-100,000 ",0 ,0 ,"-100,000 "
205,2011,국회공직자윤리위원회,김광림,국회,국회의원,총계,"4,029,213 ","1,269,128 ","719,085 ","4,579,256 "
206,2011,국회공직자윤리위원회,김금래,국회,국회의원,건물,"872,000 ","56,000 ",0 ,"928,000 "
207,2011,국회공직자윤리위원회,김금래,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"20,900 ",0 ,"20,900 ",0 
208,2011,국회공직자윤리위원회,김금래,국회,국회의원,예금,"993,119 ","766,561 ","476,791 ","1,282,889 "
209,2011,국회공직자윤리위원회,김금래,국회,국회의원,유가증권,129 ,96 ,0 ,225 
210,2011,국회공직자윤리위원회,김금래,국회,국회의원,채권,"40,000 ",0 ,0 ,"40,000 "
211,2011,국회공직자윤리위원회,김금래,국회,국회의원,총계,"1,926,148 ","822,657 ","497,691 ","2,251,114 "
212,2011,국회공직자윤리위원회,김기현,국회,국회의원,토지,"452,610 ","3,230 ",0 ,"455,840 "
213,2011,국회공직자윤리위원회,김기현,국회,국회의원,건물,"5,357,600 ","738,532 ","756,358 ","5,339,774 "
214,2011,국회공직자윤리위원회,김기현,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"29,306 ",0 ,"1,030 ","28,276 "
215,2011,국회공직자윤리위원회,김기현,국회,국회의원,현금,"30,000 ",0 ,"20,000 ","10,000 "
216,2011,국회공직자윤리위원회,김기현,국회,국회의원,예금,"222,427 ","124,932 ","61,365 ","285,994 "
217,2011,국회공직자윤리위원회,김기현,국회,국회의원,채무,"-405,587 ","-105,000 ","-110,587 ","-400,000 "
218,2011,국회공직자윤리위원회,김기현,국회,국회의원,회원권,"42,160 ",0 ,"20,960 ","21,200 "
219,2011,국회공직자윤리위원회,김기현,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
220,2011,국회공직자윤리위원회,김기현,국회,국회의원,총계,"5,728,516 ","761,694 ","749,126 ","5,741,084 "
221,2011,국회공직자윤리위원회,김낙성,국회,국회의원,토지,"65,375 ","5,230 ",0 ,"70,605 "
222,2011,국회공직자윤리위원회,김낙성,국회,국회의원,건물,"340,000 ","7,000 ",0 ,"347,000 "
223,2011,국회공직자윤리위원회,김낙성,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"60,340 ",0 ,"12,190 ","48,150 "
224,2011,국회공직자윤리위원회,김낙성,국회,국회의원,예금,"800,112 ","379,901 ","353,057 ","826,956 "
225,2011,국회공직자윤리위원회,김낙성,국회,국회의원,유가증권,"17,610 ","11,777 ",125 ,"29,262 "
