순번,연도,관할기관,성명,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액
62,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,채무,"-120,000 ",0 ,0 ,"-120,000 "
63,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,회원권,"81,950",0,0,"81,950"
64,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,고지거부 및 등록제외사항,"23,121",0,"23,121",0
65,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,총계,"16,350,424","7,381,121","8,487,683","15,243,862"
66,2015,국회공직자윤리위원회,강석훈,새누리당,국회의원,토지,"19,237","1,678",0,"20,915"
67,2015,국회공직자윤리위원회,강석훈,새누리당,국회의원,건물,"763,000",0,"43,000","720,000"
68,2015,국회공직자윤리위원회,강석훈,새누리당,국회의원,예금,"690,463","459,404","406,865","743,002"
69,2015,국회공직자윤리위원회,강석훈,새누리당,국회의원,채무,"-27,319 ",0 ,"-10,319 ","-17,000 "
70,2015,국회공직자윤리위원회,강석훈,새누리당,국회의원,회원권,"75,000",0,"35,000","40,000"
71,2015,국회공직자윤리위원회,강석훈,새누리당,국회의원,총계,"1,520,381","461,082","474,546","1,506,917"
72,2015,국회공직자윤리위원회,강은희,새누리당,국회의원,건물,"525,000","124,100",0,"649,100"
73,2015,국회공직자윤리위원회,강은희,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"35,994",0,0,"35,994"
74,2015,국회공직자윤리위원회,강은희,새누리당,국회의원,예금,"504,588","158,591","58,558","604,621"
75,2015,국회공직자윤리위원회,강은희,새누리당,국회의원,유가증권,"934,875",0,0,"934,875"
76,2015,국회공직자윤리위원회,강은희,새누리당,국회의원,채무,"-281,022 ",0 ,"-88,011 ","-193,011 "
77,2015,국회공직자윤리위원회,강은희,새누리당,국회의원,총계,"1,719,435","282,691","-29,453","2,031,579"
78,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,토지,"1,373",116,0,"1,489"
79,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,건물,"1,132,306","126,597",0,"1,258,903"
80,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"12,000",0,0,"12,000"
81,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,현금,"10,000","10,000",0,"20,000"
82,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,예금,"475,598","394,392","347,549","522,441"
83,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,유가증권,0,709,0,709
84,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,채무,"-445,760 ","-45,000 ","-15,659 ","-475,101 "
85,2015,국회공직자윤리위원회,강창일,새정치민주연합,국회의원,총계,"1,185,517","486,814","331,890","1,340,441"
86,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,토지,"114,670","2,335",64,"116,941"
87,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,건물,"1,068,824","5,104",0,"1,073,928"
88,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"31,130","82,490","31,130","82,490"
89,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,예금,"1,499,285","566,208","519,206","1,546,287"
90,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,유가증권,"18,201","42,775","2,728","58,248"
91,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,채무,"-233,395 ","-21,770 ","-36,395 ","-218,770 "
92,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,회원권,"80,550",0,0,"80,550"
93,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,고지거부 및 등록제외사항,0,0,0,0
94,2015,국회공직자윤리위원회,강창희,새누리당,국회의원,총계,"2,579,265","677,142","516,733","2,739,674"
95,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,토지,"154,702",94,0,"154,796"
96,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,건물,"1,254,000",0,"8,000","1,246,000"
97,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"46,314",0,"6,110","40,204"
98,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,예금,"565,584","140,389","9,984","695,989"
99,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,유가증권,"3,083",35,0,"3,118"
100,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,채권,"100,000",0,0,"100,000"
101,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,채무,"-1,468,464 ","-777,073 ","-794,813 ","-1,450,724 "
102,2015,국회공직자윤리위원회,경대수,새누리당,국회의원,총계,"655,219","-636,555","-770,719","789,383"
103,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,토지,0,"4,500",0,"4,500"
104,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,건물,"1,027,000","5,000","40,000","992,000"
105,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"9,500","49,510","9,500","49,510"
106,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,예금,"1,788,258","975,508","680,609","2,083,157"
107,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,유가증권,"13,588","7,448",0,"21,036"
108,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,채권,"10,000",0,0,"10,000"
109,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,채무,0 ,"-21,785 ",0 ,"-21,785 "
110,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,회원권,"137,000",0,"18,000","119,000"
111,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,고지거부 및 등록제외사항,0,0,0,0
112,2015,국회공직자윤리위원회,권성동,새누리당,국회의원,총계,"2,985,346","1,020,181","748,109","3,257,418"
113,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,토지,226,17,0,243
114,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,건물,"407,000","16,000","7,000","416,000"
115,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"3,000",0,"1,000","2,000"
116,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,예금,"1,037,438","148,621","49,142","1,136,917"
117,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,채무,"-16,215 ",0 ,"-11,083 ","-5,132 "
118,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,회원권,"17,078",0,0,"17,078"
119,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,고지거부 및 등록제외사항,0,0,0,0
120,2015,국회공직자윤리위원회,권은희,새누리당,국회의원,총계,"1,448,527","164,638","46,059","1,567,106"
121,2015,국회공직자윤리위원회,권은희,새정치민주연합,국회의원,건물,"1,140,819","439,670","340,713","1,239,776"
122,2015,국회공직자윤리위원회,권은희,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"12,000","3,760",0,"15,760"
123,2015,국회공직자윤리위원회,권은희,새정치민주연합,국회의원,예금,"47,470","36,154","41,392","42,232"
124,2015,국회공직자윤리위원회,권은희,새정치민주연합,국회의원,유가증권,"140,000",0,0,"140,000"
125,2015,국회공직자윤리위원회,권은희,새정치민주연합,국회의원,채무,"-771,460 ","-44,293 ","-103,995 ","-711,758 "
126,2015,국회공직자윤리위원회,권은희,새정치민주연합,국회의원,총계,"568,829","435,291","278,110","726,010"
127,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,토지,"421,166","8,140","3,196","426,110"
128,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,건물,"830,678",0,"49,916","780,762"
129,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"34,780",0,"4,470","30,310"
130,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,예금,"193,772","56,874","59,440","191,206"
131,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,유가증권,"398,570",0,0,"398,570"
132,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,채무,"-102,681 ","-56,963 ","-4,100 ","-155,544 "
133,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,고지거부 및 등록제외사항,0,0,0,0
134,2015,국회공직자윤리위원회,길정우,새누리당,국회의원,총계,"1,776,285","8,051","112,922","1,671,414"
135,2015,국회공직자윤리위원회,김경협,새정치민주연합,국회의원,토지,"26,169",0,159,"26,010"
136,2015,국회공직자윤리위원회,김경협,새정치민주연합,국회의원,건물,"356,500","48,000","1,000","403,500"
137,2015,국회공직자윤리위원회,김경협,새정치민주연합,국회의원,예금,"220,433","29,140","14,761","234,812"
138,2015,국회공직자윤리위원회,김경협,새정치민주연합,국회의원,유가증권,"39,928","34,040","16,740","57,228"
139,2015,국회공직자윤리위원회,김경협,새정치민주연합,국회의원,채무,"-247,500 ",0 ,0 ,"-247,500 "
140,2015,국회공직자윤리위원회,김경협,새정치민주연합,국회의원,총계,"395,530","111,180","32,660","474,050"
141,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,건물,"1,377,900","24,000",0,"1,401,900"
142,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"41,530",0,"6,000","35,530"
143,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,예금,"363,329","77,332","24,872","415,789"
144,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,채권,"200,000",0,"150,000","50,000"
145,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,채무,"-1,027,648 ","-2,251 ","-187,393 ","-842,506 "
146,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,고지거부 및 등록제외사항,0,0,0,0
147,2015,국회공직자윤리위원회,김관영,새정치민주연합,국회의원,총계,"955,111","99,081","-6,521","1,060,713"
148,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,토지,"134,920","20,506","4,941","150,485"
149,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,건물,"3,287,177","517,436","89,630","3,714,983"
150,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"29,430",0,"3,400","26,030"
151,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,예금,"2,107,324","1,282,476","1,298,078","2,091,722"
152,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,유가증권,8,0,0,8
153,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,채권,"200,000",0,"80,000","120,000"
154,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,채무,"-310,000 ",0 ,0 ,"-310,000 "
155,2015,국회공직자윤리위원회,김광림,새누리당,국회의원,총계,"5,448,859","1,820,418","1,476,049","5,793,228"
156,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,토지,"56,481","4,014","21,868","38,627"
157,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,건물,"100,000","670,000","100,000","670,000"
158,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,예금,"142,239","191,147","57,131","276,255"
159,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,유가증권,0,"5,867",0,"5,867"
160,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,채무,"-206,000 ","-462,409 ","-162,500 ","-505,909 "
161,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,고지거부 및 등록제외사항,0,0,0,0
162,2015,국회공직자윤리위원회,김광진,새정치민주연합,국회의원,총계,"92,720","408,619","16,499","484,840"
163,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,토지,"90,581","3,322",0,"93,903"
164,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,건물,"470,000","10,000","4,000","476,000"
165,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"4,500",0,490,"4,010"
166,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,예금,"185,141","75,371","132,701","127,811"
167,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,채권,"250,000",0,0,"250,000"
168,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,채무,"-299,687 ","-1,879 ",0 ,"-301,566 "
169,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,고지거부 및 등록제외사항,"47,368",0,"47,368",0
170,2015,국회공직자윤리위원회,김기선,새누리당,국회의원,총계,"747,903","86,814","184,559","650,158"
171,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,토지,"9,924",0,535,"9,389"
172,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,건물,"598,000",0,"7,000","591,000"
173,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"3,360",0,760,"2,600"
174,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,예금,"392,254","142,655","17,761","517,148"
175,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,유가증권,"17,277","8,015",288,"25,004"
176,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,채무,"-180,000 ",0 ,0 ,"-180,000 "
177,2015,국회공직자윤리위원회,김기식,새정치민주연합,국회의원,총계,"840,815","150,670","26,344","965,141"
178,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,건물,"764,000","112,000",0,"876,000"
179,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"8,800",0,200,"8,600"
180,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,예금,"545,390","201,156","283,433","463,113"
181,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,유가증권,"14,926",0,"4,046","10,880"
182,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,채무,"-270,000 ",0 ,0 ,"-270,000 "
183,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,골동품 및 예술품,"5,000",0,0,"5,000"
184,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,회원권,"15,750",0,0,"15,750"
185,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,고지거부 및 등록제외사항,0,0,0,0
186,2015,국회공직자윤리위원회,김기준,새정치민주연합,국회의원,총계,"1,083,866","313,156","287,679","1,109,343"
187,2015,국회공직자윤리위원회,김도읍,새누리당,국회의원,토지,"515,820","1,091","474,624","42,287"
188,2015,국회공직자윤리위원회,김도읍,새누리당,국회의원,건물,"2,443,037","1,599,048","1,071,266","2,970,819"
189,2015,국회공직자윤리위원회,김도읍,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"17,425",0,"1,505","15,920"
190,2015,국회공직자윤리위원회,김도읍,새누리당,국회의원,예금,"241,356","118,312","28,959","330,709"
191,2015,국회공직자윤리위원회,김도읍,새누리당,국회의원,채무,"-791,037 ","-162,860 ","-71,143 ","-882,754 "
192,2015,국회공직자윤리위원회,김도읍,새누리당,국회의원,총계,"2,426,601","1,555,591","1,505,211","2,476,981"
193,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,토지,"41,230","2,660",0,"43,890"
194,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,건물,"909,000","23,000","180,000","752,000"
195,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"46,710",0,"10,200","36,510"
196,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,예금,"107,639","68,766","24,991","151,414"
197,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,유가증권,"1,390",318,0,"1,708"
198,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,채무,"-324,943 ","-29,715 ","-123,023 ","-231,635 "
199,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,회원권,"63,997",0,"34,000","29,997"
200,2015,국회공직자윤리위원회,김동완,새누리당,국회의원,총계,"845,023","65,029","126,168","783,884"
201,2015,국회공직자윤리위원회,김동철,새정치민주연합,국회의원,토지,"5,294",520,0,"5,814"
202,2015,국회공직자윤리위원회,김동철,새정치민주연합,국회의원,건물,"708,000",0,"1,000","707,000"
203,2015,국회공직자윤리위원회,김동철,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"29,290",0,"3,830","25,460"
204,2015,국회공직자윤리위원회,김동철,새정치민주연합,국회의원,예금,"864,692","462,173","465,812","861,053"
205,2015,국회공직자윤리위원회,김동철,새정치민주연합,국회의원,유가증권,"1,500","266,458",0,"267,958"
206,2015,국회공직자윤리위원회,김동철,새정치민주연합,국회의원,총계,"1,608,776","729,151","470,642","1,867,285"
207,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,토지,"1,497,641","121,630",0,"1,619,271"
208,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,건물,"390,618","28,643",0,"419,261"
209,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"12,900","58,468","12,900","58,468"
210,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,예금,"582,427","113,078","365,666","329,839"
211,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,유가증권,0,"11,555",0,"11,555"
212,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,채권,"150,000",0,0,"150,000"
213,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,채무,"-1,168,870 ","-10,000 ","-330,000 ","-848,870 "
214,2015,국회공직자윤리위원회,김명연,새누리당,국회의원,총계,"1,464,716","323,374","48,566","1,739,524"
215,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,토지,"2,415,956",0,"24,495","2,391,461"
216,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,건물,"2,296,000",0,"67,000","2,229,000"
217,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"27,250",0,"27,250",0
218,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,예금,"10,105,318","10,038,994","10,040,293","10,104,019"
219,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,채권,"570,000",0,0,"570,000"
220,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,채무,"-1,685,536 ","-2,393 ","-134,303 ","-1,553,626 "
221,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,회원권,"15,150",0,0,"15,150"
222,2015,국회공직자윤리위원회,김무성,새누리당,국회의원,총계,"13,744,138","10,036,601","10,024,735","13,756,004"
223,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,건물,"180,000",0,0,"180,000"
224,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"11,690",0,"1,280","10,410"
225,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,예금,"236,593","74,379","7,599","303,373"
226,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,채권,"40,000",0,"10,000","30,000"
227,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,채무,"-23,365 ","-49,678 ",0 ,"-73,043 "
228,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,고지거부 및 등록제외사항,0,0,0,0
229,2015,국회공직자윤리위원회,김민기,새정치민주연합,국회의원,총계,"444,918","24,701","18,879","450,740"
230,2015,국회공직자윤리위원회,김상민,새누리당,국회의원,건물,"300,000","5,000","11,000","294,000"
231,2015,국회공직자윤리위원회,김상민,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"31,860",0,"8,510","23,350"
232,2015,국회공직자윤리위원회,김상민,새누리당,국회의원,예금,"139,214","38,939","64,529","113,624"
233,2015,국회공직자윤리위원회,김상민,새누리당,국회의원,채권,"86,000","15,000","45,000","56,000"
234,2015,국회공직자윤리위원회,김상민,새누리당,국회의원,채무,"-570,723 ","-55,009 ","-25,034 ","-600,698 "
