순번,연도,관할기관,성명,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액
1,2015,국회공직자윤리위원회,정의화,무소속,국회의장,토지,"5,436,808","539,445",0,"5,976,253"
2,2015,국회공직자윤리위원회,정의화,무소속,국회의장,건물,"14,209,239","2,385,196","841,642","15,752,793"
3,2015,국회공직자윤리위원회,정의화,무소속,국회의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"54,190","1,500","12,920","42,770"
4,2015,국회공직자윤리위원회,정의화,무소속,국회의장,예금,"5,199,257","2,735,859","1,677,662","6,257,454"
5,2015,국회공직자윤리위원회,정의화,무소속,국회의장,채무,"-14,986,431 ","-3,977,673 ","-1,045,093 ","-17,919,011 "
6,2015,국회공직자윤리위원회,정의화,무소속,국회의장,금 및 백금,"15,141",939,0,"16,080"
7,2015,국회공직자윤리위원회,정의화,무소속,국회의장,보석류,"19,000",0,0,"19,000"
8,2015,국회공직자윤리위원회,정의화,무소속,국회의장,회원권,"330,000","30,000",0,"360,000"
9,2015,국회공직자윤리위원회,정의화,무소속,국회의장,비영리법인에의한 출연재산,,,,
10,2015,국회공직자윤리위원회,정의화,무소속,국회의장,고지거부 및 등록제외사항,0,0,0,0
11,2015,국회공직자윤리위원회,정의화,무소속,국회의장,총계,"10,277,204","1,715,266","1,487,131","10,505,339"
12,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,토지,"6,296",577,0,"6,873"
13,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,건물,"952,000","379,000","350,000","981,000"
14,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"8,000",0,"1,000","7,000"
15,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,현금,"10,000","10,000",0,"20,000"
16,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,예금,"360,910","117,141","43,176","434,875"
17,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,유가증권,"11,070","2,630","3,823","9,877"
18,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,채권,"150,000",0,"150,000",0
19,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,채무,"-855,176 ","-470,134 ","-557,248 ","-768,062 "
20,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,회원권,"27,500",0,0,"27,500"
21,2015,국회공직자윤리위원회,정갑윤,새누리당,국회부의장,총계,"670,600","39,214","-9,249","719,063"
22,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,건물,"738,768","966,539",0,"1,705,307"
23,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"6,310",0,"6,310",0
24,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,예금,"374,559","49,351","280,414","143,496"
25,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,유가증권,"12,000",0,0,"12,000"
26,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,채권,"60,000",0,"30,000","30,000"
27,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,채무,"-358,586 ","-589,503 ","-50,000 ","-898,089 "
28,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,고지거부 및 등록제외사항,"5,613",0,"5,613",0
29,2015,국회공직자윤리위원회,이석현,새정치민주연합,국회부의장,총계,"838,664","426,387","272,337","992,714"
30,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,토지,"1,480,081","123,374",0,"1,603,455"
31,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,건물,"3,164,397","97,594",0,"3,261,991"
32,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"286,221",0,"2,810","283,411"
33,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,예금,"577,828","933,865","399,698","1,111,995"
34,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,유가증권,"1,002,980",0,0,"1,002,980"
35,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,채무,"-605,817 ","-15,851 ","-170,711 ","-450,957 "
36,2015,국회공직자윤리위원회,강기윤,새누리당,국회의원,총계,"5,905,690","1,138,982","231,797","6,812,875"
37,2015,국회공직자윤리위원회,강기정,새정치민주연합,국회의원,건물,"147,000","5,000",0,"152,000"
38,2015,국회공직자윤리위원회,강기정,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"8,790",0,"3,790","5,000"
39,2015,국회공직자윤리위원회,강기정,새정치민주연합,국회의원,예금,"451,984","138,771","50,072","540,683"
40,2015,국회공직자윤리위원회,강기정,새정치민주연합,국회의원,유가증권,"1,000","5,000",0,"6,000"
41,2015,국회공직자윤리위원회,강기정,새정치민주연합,국회의원,총계,"608,774","148,771","53,862","703,683"
42,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,토지,"1,250,621","92,085",0,"1,342,706"
43,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,건물,"2,327,025","579,839","6,000","2,900,864"
44,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"12,030",0,"12,030",0
45,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,예금,"765,627","310,586","560,170","516,043"
46,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,채무,"-1,145,627 ","-190,000 ","-21,889 ","-1,313,738 "
47,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,회원권,"1,500",0,0,"1,500"
48,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,고지거부 및 등록제외사항,0,0,0,0
49,2015,국회공직자윤리위원회,강길부,새누리당,국회의원,총계,"3,211,176","792,510","556,311","3,447,375"
50,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,토지,"3,336",84,0,"3,420"
51,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,건물,"494,000","13,000","2,000","505,000"
52,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"27,770",0,"4,890","22,880"
53,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,예금,"144,360","52,085","5,580","190,865"
54,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,유가증권,"11,813","10,217","2,455","19,575"
55,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,채무,"-751,827 ","-230,000 ","-180,987 ","-800,840 "
56,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,고지거부 및 등록제외사항,513,0,513,0
57,2015,국회공직자윤리위원회,강동원,새정치민주연합,국회의원,총계,"-70,035","-154,614","-165,549","-59,100"
58,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,토지,"2,107,979","26,090","820,602","1,313,467"
59,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,건물,"3,215,203","34,095","337,471","2,911,827"
60,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,예금,"9,660,060","7,320,726","7,306,489","9,674,297"
61,2015,국회공직자윤리위원회,강석호,새누리당,국회의원,유가증권,"1,382,111",210,0,"1,382,321"
